date,average_price ,total_volume,type,year,geography
2017/12/10,0.79,1266365,conventional,2017,Houston
2017/12/10,1.51,26415,organic,2017,Houston
2017/12/10,1.26,167891,conventional,2017,Indianapolis
2017/12/10,1.42,7090,organic,2017,Indianapolis
2017/12/10,1.01,181426,conventional,2017,Jacksonville
2017/12/10,1.59,2646,organic,2017,Jacksonville
2017/12/10,1.03,288441,conventional,2017,Las Vegas
2017/12/10,1.68,8602,organic,2017,Las Vegas
2017/12/10,1.07,2404222,conventional,2017,Los Angeles
2017/12/10,1.78,69862,organic,2017,Los Angeles
2017/12/10,1.01,100073,conventional,2017,Louisville
2017/12/10,1.54,2491,organic,2017,Louisville
2017/12/10,1.03,713866,conventional,2017,Miami/Ft. Lauderdale
2017/12/10,1.48,5326,organic,2017,Miami/Ft. Lauderdale
2017/12/10,0.9,239588,conventional,2017,Nashville
2017/12/10,1.59,5477,organic,2017,Nashville
2017/12/10,1.06,251601,conventional,2017,New Orleans/Mobile
2017/12/10,1.4,5489,organic,2017,New Orleans/Mobile
2017/12/10,1.14,2390309,conventional,2017,New York
2017/12/10,1.79,79929,organic,2017,New York
2017/12/10,1.02,424939,conventional,2017,Orlando
2017/12/10,1.6,5703,organic,2017,Orlando
2017/12/10,1.23,575854,conventional,2017,Philadelphia
2017/12/10,1.5,28947,organic,2017,Philadelphia
2017/12/10,0.64,1222641,conventional,2017,Phoenix/Tucson
2017/12/10,1.8,10964,organic,2017,Phoenix/Tucson
2017/12/10,1.27,93437,conventional,2017,Pittsburgh
2017/12/10,1.39,9389,organic,2017,Pittsburgh
2017/12/10,1.29,424742,conventional,2017,Portland
2017/12/10,1.42,35195,organic,2017,Portland
2017/12/10,1.03,356980,conventional,2017,Raleigh/Greensboro
2017/12/10,2.12,11025,organic,2017,Raleigh/Greensboro
2017/12/10,1.04,253167,conventional,2017,Richmond/Norfolk
2017/12/10,1.4,12386,organic,2017,Richmond/Norfolk
2017/12/10,1.07,474539,conventional,2017,Sacramento
2017/12/10,1.75,6765,organic,2017,Sacramento
2017/12/10,1.13,442148,conventional,2017,San Diego
2017/12/10,2.05,13284,organic,2017,San Diego
2017/12/10,1.05,992871,conventional,2017,San Francisco
2017/12/10,2.27,15142,organic,2017,San Francisco
2017/12/10,1.39,389912,conventional,2017,Seattle
2017/12/10,1.07,144863,organic,2017,Seattle
2017/12/10,1.2,74626,conventional,2017,Spokane
2017/12/10,2.06,2722,organic,2017,Spokane
2017/12/10,1.18,156411,conventional,2017,St. Louis
2017/12/10,1.72,5723,organic,2017,St. Louis
2017/12/10,1.24,59965,conventional,2017,Syracuse
2017/12/10,1.13,6432,organic,2017,Syracuse
2017/12/10,1.02,474890,conventional,2017,Tampa
2017/12/10,1.56,5581,organic,2017,Tampa
2017/12/17,1.43,70678,conventional,2017,Albany
2017/12/17,1.43,3514,organic,2017,Albany
2017/12/17,1,484327,conventional,2017,Atlanta
2017/12/17,1.59,11548,organic,2017,Atlanta
2017/12/17,1.44,628735,conventional,2017,Baltimore
2017/12/17,1.58,34582,organic,2017,Baltimore
2017/12/17,1.29,65090,conventional,2017,Boise
2017/12/17,1.79,1797,organic,2017,Boise
2017/12/17,1.28,516771,conventional,2017,Boston
2017/12/17,1.82,24905,organic,2017,Boston
2017/12/17,1.26,108352,conventional,2017,Buffalo/Rochester
2017/12/17,1.15,10785,organic,2017,Buffalo/Rochester
2017/12/17,1.26,189529,conventional,2017,Charlotte
2017/12/17,1.86,9679,organic,2017,Charlotte
2017/12/17,1.49,620054,conventional,2017,Chicago
2017/12/17,1.39,44435,organic,2017,Chicago
2017/12/17,1.3,169220,conventional,2017,Cincinnati/Dayton
2017/12/17,1.73,9466,organic,2017,Cincinnati/Dayton
2017/12/17,1.03,162900,conventional,2017,Columbus
2017/12/17,1.56,6639,organic,2017,Columbus
2017/12/17,0.83,1084068,conventional,2017,Dallas/Ft. Worth
2017/12/17,1.41,20248,organic,2017,Dallas/Ft. Worth
2017/12/17,1.13,646737,conventional,2017,Denver
2017/12/17,1.46,34524,organic,2017,Denver
2017/12/17,1.08,369197,conventional,2017,Detroit
2017/12/17,1.41,17065,organic,2017,Detroit
2017/12/17,1.25,162923,conventional,2017,Grand Rapids
2017/12/17,1.28,6778,organic,2017,Grand Rapids
2017/12/17,1.37,196746,conventional,2017,Harrisburg/Scranton
2017/12/17,1.46,16946,organic,2017,Harrisburg/Scranton
2017/12/17,1.44,228292,conventional,2017,Hartford/Springfield
2017/12/17,1.93,12068,organic,2017,Hartford/Springfield
2017/12/17,0.98,928717,conventional,2017,Houston
2017/12/17,1.53,27626,organic,2017,Houston
2017/12/17,1.26,143976,conventional,2017,Indianapolis
2017/12/17,1.38,8333,organic,2017,Indianapolis
2017/12/17,0.99,176847,conventional,2017,Jacksonville
2017/12/17,1.61,2499,organic,2017,Jacksonville
2017/12/17,1.03,267988,conventional,2017,Las Vegas
2017/12/17,1.94,7541,organic,2017,Las Vegas
2017/12/17,0.89,3130916,conventional,2017,Los Angeles
2017/12/17,1.7,64716,organic,2017,Los Angeles
2017/12/17,1.07,80191,conventional,2017,Louisville
2017/12/17,1.57,3861,organic,2017,Louisville
2017/12/17,1.01,660738,conventional,2017,Miami/Ft. Lauderdale
2017/12/17,1.59,8487,organic,2017,Miami/Ft. Lauderdale
2017/12/17,0.91,197844,conventional,2017,Nashville
2017/12/17,1.62,6706,organic,2017,Nashville
2017/12/17,1.03,251754,conventional,2017,New Orleans/Mobile
2017/12/17,1.37,5789,organic,2017,New Orleans/Mobile
2017/12/17,1.41,1181560,conventional,2017,New York
2017/12/17,1.84,75462,organic,2017,New York
2017/12/17,1.01,381304,conventional,2017,Orlando
2017/12/17,1.6,5835,organic,2017,Orlando
2017/12/17,1.43,344204,conventional,2017,Philadelphia
2017/12/17,1.59,22003,organic,2017,Philadelphia
2017/12/17,0.7,1031888,conventional,2017,Phoenix/Tucson
2017/12/17,1.45,17034,organic,2017,Phoenix/Tucson
2017/12/17,1.01,141895,conventional,2017,Pittsburgh
2017/12/17,1.37,9322,organic,2017,Pittsburgh
2017/12/17,1.31,430915,conventional,2017,Portland
2017/12/17,1.54,26460,organic,2017,Portland
2017/12/17,1.24,253165,conventional,2017,Raleigh/Greensboro
2017/12/17,2.03,10729,organic,2017,Raleigh/Greensboro
2017/12/17,1.13,199747,conventional,2017,Richmond/Norfolk
2017/12/17,1.43,12837,organic,2017,Richmond/Norfolk
2017/12/17,1.2,404548,conventional,2017,Sacramento
2017/12/17,1.72,7034,organic,2017,Sacramento
2017/12/17,0.73,719091,conventional,2017,San Diego
2017/12/17,1.54,14047,organic,2017,San Diego
2017/12/17,1.4,674625,conventional,2017,San Francisco
2017/12/17,2.1,17851,organic,2017,San Francisco
2017/12/17,1.49,361827,conventional,2017,Seattle
2017/12/17,1.25,80745,organic,2017,Seattle
2017/12/17,1.34,61276,conventional,2017,Spokane
2017/12/17,2.14,2675,organic,2017,Spokane
2017/12/17,1.17,154326,conventional,2017,St. Louis
2017/12/17,1.63,5955,organic,2017,St. Louis
2017/12/17,1.3,49220,conventional,2017,Syracuse
2017/12/17,1.18,4668,organic,2017,Syracuse
2017/12/17,1,449049,conventional,2017,Tampa
2017/12/17,1.58,5610,organic,2017,Tampa
2017/12/24,1.45,77039,conventional,2017,Albany
2017/12/24,1.58,3694,organic,2017,Albany
2017/12/24,1.11,444782,conventional,2017,Atlanta
2017/12/24,1.59,15311,organic,2017,Atlanta
2017/12/24,1.41,624269,conventional,2017,Baltimore
2017/12/24,1.56,35540,organic,2017,Baltimore
2017/12/24,1.18,71004,conventional,2017,Boise
2017/12/24,1.44,3029,organic,2017,Boise
2017/12/24,1.45,414148,conventional,2017,Boston
2017/12/24,1.83,25639,organic,2017,Boston
2017/12/24,1.28,127375,conventional,2017,Buffalo/Rochester
2017/12/24,1.15,11026,organic,2017,Buffalo/Rochester
2017/12/24,1.33,182538,conventional,2017,Charlotte
2017/12/24,1.83,9064,organic,2017,Charlotte
2017/12/24,1.36,707646,conventional,2017,Chicago
2017/12/24,1.81,32444,organic,2017,Chicago
2017/12/24,1.36,159238,conventional,2017,Cincinnati/Dayton
2017/12/24,1.73,13218,organic,2017,Cincinnati/Dayton
2017/12/24,1.06,140322,conventional,2017,Columbus
2017/12/24,1.54,7094,organic,2017,Columbus
2017/12/24,0.99,1060457,conventional,2017,Dallas/Ft. Worth
2017/12/24,1.44,24924,organic,2017,Dallas/Ft. Worth
2017/12/24,1.19,675593,conventional,2017,Denver
2017/12/24,1.61,29467,organic,2017,Denver
2017/12/24,1.25,298146,conventional,2017,Detroit
2017/12/24,1.37,18289,organic,2017,Detroit
2017/12/24,1.64,130736,conventional,2017,Grand Rapids
2017/12/24,1.3,7774,organic,2017,Grand Rapids
2017/12/24,1.37,217968,conventional,2017,Harrisburg/Scranton
2017/12/24,1.46,19060,organic,2017,Harrisburg/Scranton
2017/12/24,1.5,225991,conventional,2017,Hartford/Springfield
2017/12/24,1.99,12641,organic,2017,Hartford/Springfield
2017/12/24,0.99,1063385,conventional,2017,Houston
2017/12/24,1.55,26782,organic,2017,Houston
2017/12/24,1.3,148389,conventional,2017,Indianapolis
2017/12/24,1.4,8639,organic,2017,Indianapolis
2017/12/24,1.38,127182,conventional,2017,Jacksonville
2017/12/24,1.87,3639,organic,2017,Jacksonville
2017/12/24,1.24,234520,conventional,2017,Las Vegas
2017/12/24,1.89,8394,organic,2017,Las Vegas
2017/12/24,1.1,2389829,conventional,2017,Los Angeles
2017/12/24,1.8,69804,organic,2017,Los Angeles
2017/12/24,1.18,80024,conventional,2017,Louisville
2017/12/24,1.58,3977,organic,2017,Louisville
2017/12/24,1.45,506569,conventional,2017,Miami/Ft. Lauderdale
2017/12/24,1.59,8463,organic,2017,Miami/Ft. Lauderdale
2017/12/24,1.04,182003,conventional,2017,Nashville
2017/12/24,1.56,7151,organic,2017,Nashville
2017/12/24,1.14,224870,conventional,2017,New Orleans/Mobile
2017/12/24,1.45,5575,organic,2017,New Orleans/Mobile
2017/12/24,1.34,1233462,conventional,2017,New York
2017/12/24,1.85,74780,organic,2017,New York
2017/12/24,1.39,292291,conventional,2017,Orlando
2017/12/24,1.79,8233,organic,2017,Orlando
2017/12/24,1.34,379422,conventional,2017,Philadelphia
2017/12/24,1.6,23575,organic,2017,Philadelphia
2017/12/24,0.75,1006478,conventional,2017,Phoenix/Tucson
2017/12/24,1.61,18365,organic,2017,Phoenix/Tucson
2017/12/24,1.29,87945,conventional,2017,Pittsburgh
2017/12/24,1.37,10465,organic,2017,Pittsburgh
2017/12/24,1.33,407742,conventional,2017,Portland
2017/12/24,1.44,36919,organic,2017,Portland
2017/12/24,1.27,248316,conventional,2017,Raleigh/Greensboro
2017/12/24,2.12,11092,organic,2017,Raleigh/Greensboro
2017/12/24,1.19,206250,conventional,2017,Richmond/Norfolk
2017/12/24,1.41,12966,organic,2017,Richmond/Norfolk
2017/12/24,1.14,469533,conventional,2017,Sacramento
2017/12/24,1.68,8177,organic,2017,Sacramento
2017/12/24,1.17,397332,conventional,2017,San Diego
2017/12/24,1.82,15277,organic,2017,San Diego
2017/12/24,1.15,860923,conventional,2017,San Francisco
2017/12/24,2.01,18541,organic,2017,San Francisco
2017/12/24,1.46,394845,conventional,2017,Seattle
2017/12/24,1.75,42806,organic,2017,Seattle
2017/12/24,1.32,66896,conventional,2017,Spokane
2017/12/24,1.77,4468,organic,2017,Spokane
2017/12/24,1.38,149941,conventional,2017,St. Louis
2017/12/24,1.67,5124,organic,2017,St. Louis
2017/12/24,1.31,57784,conventional,2017,Syracuse
2017/12/24,1.21,5155,organic,2017,Syracuse
2017/12/24,1.4,335783,conventional,2017,Tampa
2017/12/24,1.64,7370,organic,2017,Tampa
2017/12/31,1.47,113514,conventional,2017,Albany
2017/12/31,1.46,3464,organic,2017,Albany
2017/12/31,0.95,649353,conventional,2017,Atlanta
2017/12/31,1.28,17218,organic,2017,Atlanta
2017/12/31,1.15,849488,conventional,2017,Baltimore
2017/12/31,1.53,40942,organic,2017,Baltimore
2017/12/31,1.13,79647,conventional,2017,Boise
2017/12/31,1.72,2017,organic,2017,Boise
2017/12/31,1.4,419697,conventional,2017,Boston
2017/12/31,1.86,25275,organic,2017,Boston
2017/12/31,1.27,115508,conventional,2017,Buffalo/Rochester
2017/12/31,1.15,10568,organic,2017,Buffalo/Rochester
2017/12/31,0.93,346357,conventional,2017,Charlotte
2017/12/31,1.71,11939,organic,2017,Charlotte
2017/12/31,0.93,1182648,conventional,2017,Chicago
2017/12/31,1.79,26040,organic,2017,Chicago
2017/12/31,0.86,278128,conventional,2017,Cincinnati/Dayton
2017/12/31,1.36,14495,organic,2017,Cincinnati/Dayton
2017/12/31,0.8,221204,conventional,2017,Columbus
2017/12/31,1.14,15852,organic,2017,Columbus
2017/12/31,0.9,1116393,conventional,2017,Dallas/Ft. Worth
2017/12/31,1.48,21181,organic,2017,Dallas/Ft. Worth
2017/12/31,0.94,938482,conventional,2017,Denver
2017/12/31,1.48,17907,organic,2017,Denver
2017/12/31,0.84,467584,conventional,2017,Detroit
2017/12/31,1.05,32776,organic,2017,Detroit
2017/12/31,1.09,202635,conventional,2017,Grand Rapids
2017/12/31,1.28,6793,organic,2017,Grand Rapids
2017/12/31,1.37,195897,conventional,2017,Harrisburg/Scranton
2017/12/31,1.45,18858,organic,2017,Harrisburg/Scranton
2017/12/31,1.42,245203,conventional,2017,Hartford/Springfield
2017/12/31,1.9,15472,organic,2017,Hartford/Springfield
2017/12/31,0.78,1391182,conventional,2017,Houston
2017/12/31,1.36,25590,organic,2017,Houston
2017/12/31,0.96,205203,conventional,2017,Indianapolis
2017/12/31,1.45,9437,organic,2017,Indianapolis
2017/12/31,1.12,206563,conventional,2017,Jacksonville
2017/12/31,1.65,2024,organic,2017,Jacksonville
2017/12/31,1.04,291923,conventional,2017,Las Vegas
2017/12/31,1.55,9413,organic,2017,Las Vegas
2017/12/31,0.88,3212262,conventional,2017,Los Angeles
2017/12/31,1.74,78873,organic,2017,Los Angeles
2017/12/31,0.87,117941,conventional,2017,Louisville
2017/12/31,1.16,5828,organic,2017,Louisville
2017/12/31,1.17,728999,conventional,2017,Miami/Ft. Lauderdale
2017/12/31,1.48,6519,organic,2017,Miami/Ft. Lauderdale
2017/12/31,0.81,258730,conventional,2017,Nashville
2017/12/31,1.52,7099,organic,2017,Nashville
2017/12/31,1.06,262282,conventional,2017,New Orleans/Mobile
2017/12/31,1.44,5341,organic,2017,New Orleans/Mobile
2017/12/31,1.33,1201219,conventional,2017,New York
2017/12/31,1.83,69777,organic,2017,New York
2017/12/31,1.16,461914,conventional,2017,Orlando
2017/12/31,1.82,6063,organic,2017,Orlando
2017/12/31,1.35,334784,conventional,2017,Philadelphia
2017/12/31,1.6,21941,organic,2017,Philadelphia
2017/12/31,0.75,986475,conventional,2017,Phoenix/Tucson
2017/12/31,1.71,14464,organic,2017,Phoenix/Tucson
2017/12/31,1.01,150867,conventional,2017,Pittsburgh
2017/12/31,1.4,10652,organic,2017,Pittsburgh
2017/12/31,0.89,614951,conventional,2017,Portland
2017/12/31,1.51,25694,organic,2017,Portland
2017/12/31,0.92,419591,conventional,2017,Raleigh/Greensboro
2017/12/31,2.06,13531,organic,2017,Raleigh/Greensboro
2017/12/31,0.83,315464,conventional,2017,Richmond/Norfolk
2017/12/31,1.39,13838,organic,2017,Richmond/Norfolk
2017/12/31,1.03,578375,conventional,2017,Sacramento
2017/12/31,1.61,9655,organic,2017,Sacramento
2017/12/31,0.98,619700,conventional,2017,San Diego
2017/12/31,2,14151,organic,2017,San Diego
2017/12/31,0.92,1174819,conventional,2017,San Francisco
2017/12/31,1.52,24699,organic,2017,San Francisco
2017/12/31,1.1,559150,conventional,2017,Seattle
2017/12/31,1.24,82749,organic,2017,Seattle
2017/12/31,0.94,98086,conventional,2017,Spokane
2017/12/31,1.82,2469,organic,2017,Spokane
2017/12/31,1.14,192170,conventional,2017,St. Louis
2017/12/31,1.54,12275,organic,2017,St. Louis
2017/12/31,1.39,59077,conventional,2017,Syracuse
2017/12/31,1.2,4873,organic,2017,Syracuse
2017/12/31,1.16,548933,conventional,2017,Tampa
2017/12/31,1.59,5529,organic,2017,Tampa
2018/1/1,1.47,113514,conventional,2018,Albany
2018/1/1,1.46,3464,organic,2018,Albany
2018/1/1,0.95,649353,conventional,2018,Atlanta
2018/1/1,1.28,17218,organic,2018,Atlanta
2018/1/1,1.15,849488,conventional,2018,Baltimore
2018/1/1,1.53,40942,organic,2018,Baltimore
2018/1/1,1.13,79647,conventional,2018,Boise
2018/1/1,1.72,2017,organic,2018,Boise
2018/1/1,1.4,419697,conventional,2018,Boston
2018/1/1,1.86,25275,organic,2018,Boston
2018/1/1,1.27,115508,conventional,2018,Buffalo/Rochester
2018/1/1,1.15,10568,organic,2018,Buffalo/Rochester
2018/1/1,0.93,346357,conventional,2018,Charlotte
2018/1/1,1.71,11939,organic,2018,Charlotte
2018/1/1,0.93,1182648,conventional,2018,Chicago
2018/1/1,1.79,26040,organic,2018,Chicago
2018/1/1,0.86,278128,conventional,2018,Cincinnati/Dayton
2018/1/1,1.36,14495,organic,2018,Cincinnati/Dayton
2018/1/1,0.8,221204,conventional,2018,Columbus
2018/1/1,1.14,15852,organic,2018,Columbus
2018/1/1,0.9,1116393,conventional,2018,Dallas/Ft. Worth
2018/1/1,1.48,21181,organic,2018,Dallas/Ft. Worth
2018/1/1,0.94,938482,conventional,2018,Denver
2018/1/1,1.48,17907,organic,2018,Denver
2018/1/1,0.84,467584,conventional,2018,Detroit
2018/1/1,1.05,32776,organic,2018,Detroit
2018/1/1,1.09,202635,conventional,2018,Grand Rapids
2018/1/1,1.28,6793,organic,2018,Grand Rapids
2018/1/1,1.37,195897,conventional,2018,Harrisburg/Scranton
2018/1/1,1.45,18858,organic,2018,Harrisburg/Scranton
2018/1/1,1.42,245203,conventional,2018,Hartford/Springfield
2018/1/1,1.9,15472,organic,2018,Hartford/Springfield
2018/1/1,0.78,1391182,conventional,2018,Houston
2018/1/1,1.36,25590,organic,2018,Houston
2018/1/1,0.96,205203,conventional,2018,Indianapolis
2018/1/1,1.45,9437,organic,2018,Indianapolis
2018/1/1,1.12,206563,conventional,2018,Jacksonville
2018/1/1,1.65,2024,organic,2018,Jacksonville
2018/1/1,1.04,291923,conventional,2018,Las Vegas
2018/1/1,1.55,9413,organic,2018,Las Vegas
2018/1/1,0.88,3212262,conventional,2018,Los Angeles
2018/1/1,1.74,78873,organic,2018,Los Angeles
2018/1/1,0.87,117941,conventional,2018,Louisville
2018/1/1,1.16,5828,organic,2018,Louisville
2018/1/1,1.17,728999,conventional,2018,Miami/Ft. Lauderdale
2018/1/1,1.48,6519,organic,2018,Miami/Ft. Lauderdale
2018/1/1,0.81,258730,conventional,2018,Nashville
2018/1/1,1.52,7099,organic,2018,Nashville
2018/1/1,1.06,262282,conventional,2018,New Orleans/Mobile
2018/1/1,1.44,5341,organic,2018,New Orleans/Mobile
2018/1/1,1.33,1201219,conventional,2018,New York
2018/1/1,1.83,69777,organic,2018,New York
2018/1/1,1.16,461914,conventional,2018,Orlando
2018/1/1,1.82,6063,organic,2018,Orlando
2018/1/1,1.35,334784,conventional,2018,Philadelphia
2018/1/1,1.6,21941,organic,2018,Philadelphia
2018/1/1,0.75,986475,conventional,2018,Phoenix/Tucson
2018/1/1,1.71,14464,organic,2018,Phoenix/Tucson
2018/1/1,1.01,150867,conventional,2018,Pittsburgh
2018/1/1,1.4,10652,organic,2018,Pittsburgh
2018/1/1,0.89,614951,conventional,2018,Portland
2018/1/1,1.51,25694,organic,2018,Portland
2018/1/1,0.92,419591,conventional,2018,Raleigh/Greensboro
2018/1/1,2.06,13531,organic,2018,Raleigh/Greensboro
2018/1/1,0.83,315464,conventional,2018,Richmond/Norfolk
2018/1/1,1.39,13838,organic,2018,Richmond/Norfolk
2018/1/1,1.03,578375,conventional,2018,Sacramento
2018/1/1,1.61,9655,organic,2018,Sacramento
2018/1/1,0.98,619700,conventional,2018,San Diego
2018/1/1,2,14151,organic,2018,San Diego
2018/1/1,0.92,1174819,conventional,2018,San Francisco
2018/1/1,1.52,24699,organic,2018,San Francisco
2018/1/1,1.1,559150,conventional,2018,Seattle
2018/1/1,1.24,82749,organic,2018,Seattle
2018/1/1,0.94,98086,conventional,2018,Spokane
2018/1/1,1.82,2469,organic,2018,Spokane
2018/1/1,1.14,192170,conventional,2018,St. Louis
2018/1/1,1.54,12275,organic,2018,St. Louis
2018/1/1,1.39,59077,conventional,2018,Syracuse
2018/1/1,1.2,4873,organic,2018,Syracuse
2018/1/1,1.16,548933,conventional,2018,Tampa
2018/1/1,1.59,5529,organic,2018,Tampa
2018/1/7,1.13,98540,conventional,2018,Albany
2018/1/7,1.54,4817,organic,2018,Albany
2018/1/7,0.98,713916,conventional,2018,Atlanta
2018/1/7,1.53,15714,organic,2018,Atlanta
2018/1/7,1.5,771314,conventional,2018,Baltimore
2018/1/7,1.15,82283,organic,2018,Baltimore
2018/1/7,1.3,85698,conventional,2018,Boise
2018/1/7,1.77,2554,organic,2018,Boise
2018/1/7,1.28,685418,conventional,2018,Boston
2018/1/7,1.91,30096,organic,2018,Boston
2018/1/7,1.28,161877,conventional,2018,Buffalo/Rochester
2018/1/7,1.17,9116,organic,2018,Buffalo/Rochester
2018/1/7,1.36,243301,conventional,2018,Charlotte
2018/1/7,1.08,28741,organic,2018,Charlotte
2018/1/7,1.5,842141,conventional,2018,Chicago
