"conventional.date","conventional.average_price","conventional.total_volume","conventional.type","conventional.year","conventional.geography","conventional.Mileage","conventional.total_sales","organic.date","organic.average_price","organic.total_volume","organic.type","organic.year","organic.geography","organic.Mileage","organic.total_sales","organic.share_total_sales","conventional.share_total_sales","ave.con.share","ave.org.share"
"2017/12/3",1.27,231977,"conventional",2017,"Harrisburg/Scranton",2717,294610.79,"2017/12/3",1.46,18107,"organic",2017,"Harrisburg/Scranton",2717,26436.22,0.0823437664160149,0.917656233583985,0.943439474398886,0.0565605256011136
"2017/12/3",1.55,231210,"conventional",2017,"Hartford/Springfield",2906,358375.5,"2017/12/3",1.83,14089,"organic",2017,"Hartford/Springfield",2906,25782.87,0.0671152108439027,0.932884789156097,0.94103680481658,0.0589631951834199
"2017/12/3",0.77,1398400,"conventional",2017,"Houston",1656,1076768,"2017/12/3",1.56,25458,"organic",2017,"Houston",1656,39714.48,0.0355710731797601,0.96442892682024,0.966414443488332,0.0335855565116683
"2017/12/3",1.25,182891,"conventional",2017,"Indianapolis",2083,228613.75,"2017/12/3",1.42,8244,"organic",2017,"Indianapolis",2083,11706.48,0.0487120039790242,0.951287996020976,0.945371948156886,0.0546280518431136
"2017/12/3",1.26,152697,"conventional",2017,"Jacksonville",2440,192398.22,"2017/12/3",1.8,2407,"organic",2017,"Jacksonville",2440,4332.6,0.0220229855189949,0.977977014481005,0.978139500731126,0.0218604992688741
"2017/12/3",1.01,315521,"conventional",2017,"Las Vegas",286,318676.21,"2017/12/3",1.56,8048,"organic",2017,"Las Vegas",286,12554.88,0.0379036883282907,0.962096311671709,0.947760158322428,0.0522398416775717
"2017/12/3",1.01,2615853,"conventional",2017,"Los Angeles",111,2642011.53,"2017/12/3",1.77,71010,"organic",2017,"Los Angeles",111,125687.7,0.0454123405598519,0.954587659440148,0.943881225974794,0.0561187740252061
"2017/12/3",1.11,108947,"conventional",2017,"Louisville",2101,120931.17,"2017/12/3",1.59,2597,"organic",2017,"Louisville",2101,4129.23,0.0330178857576019,0.966982114242398,0.936163248380035,0.0638367516199649
"2017/12/3",1.35,550215,"conventional",2017,"Miami/Ft. Lauderdale",2843,742790.25,"2017/12/3",1.58,5302,"organic",2017,"Miami/Ft. Lauderdale",2843,8377.16,0.0111521877659735,0.988847812234026,0.98727575637968,0.0127242436203202
"2017/12/3",1.01,229337,"conventional",2017,"Nashville",2020,231630.37,"2017/12/3",1.59,4985,"organic",2017,"Nashville",2020,7926.15,0.0330867638250881,0.966913236174912,0.939943242238379,0.060056757761621
"2017/12/3",0.97,266547,"conventional",2017,"New Orleans/Mobile",1954,258550.59,"2017/12/3",1.46,5650,"organic",2017,"New Orleans/Mobile",1954,8249,0.0309183383677614,0.969081661632239,0.978554582016915,0.0214454179830849
"2017/12/3",1.41,1191930,"conventional",2017,"New York",2794,1680621.3,"2017/12/3",1.81,95300,"organic",2017,"New York",2794,172493,0.0930827634323474,0.906917236567653,0.933438425149798,0.066561574850202
"2017/12/3",1.31,318626,"conventional",2017,"Orlando",2617,417400.06,"2017/12/3",1.67,4484,"organic",2017,"Orlando",2617,7488.28,0.0176241127257105,0.982375887274289,0.980111713684211,0.0198882863157888
"2017/12/3",1.35,379540,"conventional",2017,"Philadelphia",2759,512379,"2017/12/3",1.63,25941,"organic",2017,"Philadelphia",2759,42283.83,0.0762333938980551,0.923766606101945,0.936511942809066,0.0634880571909341
"2017/12/3",0.72,1135877,"conventional",2017,"Phoenix/Tucson",482,817831.44,"2017/12/3",1.83,10324,"organic",2017,"Phoenix/Tucson",482,18892.92,0.0225796222784765,0.977420377721523,0.969701956979254,0.030298043020746
"2017/12/3",1.18,93898,"conventional",2017,"Pittsburgh",2445,110799.64,"2017/12/3",1.36,12342,"organic",2017,"Pittsburgh",2445,16785.12,0.131560540616293,0.868439459383707,0.901272720977339,0.0987272790226607
"2017/12/3",0.88,777430,"conventional",2017,"Portland",855,684138.4,"2017/12/3",1.52,29861,"organic",2017,"Portland",855,45388.72,0.0622166315078184,0.937783368492182,0.923994665655572,0.0760053343444283
"2017/12/3",1.18,307299,"conventional",2017,"Raleigh/Greensboro",2557,362612.82,"2017/12/3",2.11,10434,"organic",2017,"Raleigh/Greensboro",2557,22015.74,0.0572389632220759,0.942761036777924,0.931804857309753,0.0681951426902468
"2017/12/3",1.02,261784,"conventional",2017,"Richmond/Norfolk",2632,267019.68,"2017/12/3",1.5,11305,"organic",2017,"Richmond/Norfolk",2632,16957.5,0.0597143052128344,0.940285694787166,0.928449792317041,0.0715502076829592
"2017/12/3",1.17,427791,"conventional",2017,"Sacramento",277,500515.47,"2017/12/3",1.69,6290,"organic",2017,"Sacramento",277,10630.1,0.0207966196400763,0.979203380359924,0.962944579767275,0.0370554202327255
"2017/12/3",1.08,479566,"conventional",2017,"San Diego",253,517931.28,"2017/12/3",1.79,13477,"organic",2017,"San Diego",253,24123.83,0.0445043862790999,0.9554956137209,0.936062734959172,0.0639372650408284
"2017/12/3",1.28,798853,"conventional",2017,"San Francisco",283,1022531.84,"2017/12/3",2.07,14737,"organic",2017,"San Francisco",283,30505.59,0.0289691412013721,0.971030858798628,0.934814063488938,0.0651859365110624
"2017/12/3",1.26,500180,"conventional",2017,"Seattle",1029,630226.8,"2017/12/3",1.19,98031,"organic",2017,"Seattle",1029,116656.89,0.156191508211941,0.843808491788059,0.870418203097601,0.129581796902399
"2017/12/3",1.16,80464,"conventional",2017,"Spokane",1097,93338.24,"2017/12/3",1.92,2575,"organic",2017,"Spokane",1097,4944,0.0503041037729706,0.949695896227029,0.924914231142534,0.0750857688574661
"2017/12/3",1.37,132165,"conventional",2017,"St. Louis",1841,181066.05,"2017/12/3",1.81,6103,"organic",2017,"St. Louis",1841,11046.43,0.0574998042813252,0.942500195718675,0.933648181888816,0.0663518181111838
"2017/12/3",1.25,80838,"conventional",2017,"Syracuse",2693,101047.5,"2017/12/3",1.23,4487,"organic",2017,"Syracuse",2693,5519.01,0.0517893473287246,0.948210652671275,0.939977816469908,0.0600221835300924
"2017/12/3",1.27,381605,"conventional",2017,"Tampa",2636,484638.35,"2017/12/3",1.61,4678,"organic",2017,"Tampa",2636,7531.58,0.0153028040538763,0.984697195946124,0.982892930828724,0.0171070691712757
"2017/12/10",1.29,92326,"conventional",2017,"Albany",2832,119100.54,"2017/12/10",1.45,3780,"organic",2017,"Albany",2832,5481,0.0439952821260678,0.956004717873932,0.967559739478929,0.0324402605210707
"2017/12/10",0.99,543619,"conventional",2017,"Atlanta",2199,538182.81,"2017/12/10",1.63,13301,"organic",2017,"Atlanta",2199,21680.63,0.0387248540465511,0.961275145953449,0.950191710190095,0.0498082898099051
"2017/12/10",1.13,940851,"conventional",2017,"Baltimore/Washington",2679,1063161.63,"2017/12/10",1.51,41451,"organic",2017,"Baltimore/Washington",2679,62591.01,0.0555992566892848,0.944400743310715,0.944935705825464,0.0550642941745357
"2017/12/10",1.08,85496,"conventional",2017,"Boise",827,92335.68,"2017/12/10",1.76,2237,"organic",2017,"Boise",827,3937.12,0.040895455414198,0.959104544585802,0.943837287582292,0.056162712417708
"2017/12/10",1.14,687252,"conventional",2017,"Boston",2998,783467.28,"2017/12/10",1.74,26315,"organic",2017,"Boston",2998,45788.1,0.0552159215415642,0.944784078458436,0.944402626536698,0.0555973734633019
"2017/12/10",1.25,127279,"conventional",2017,"Buffalo/Rochester",2552,159098.75,"2017/12/10",1.14,11144,"organic",2017,"Buffalo/Rochester",2552,12704.16,0.0739461281534754,0.926053871846525,0.926154647760673,0.0738453522393267
"2017/12/10",1.02,277529,"conventional",2017,"Charlotte",2428,283079.58,"2017/12/10",1.91,10004,"organic",2017,"Charlotte",2428,19107.64,0.0632311320114729,0.936768867988527,0.933943830589444,0.066056169410556
"2017/12/10",1.13,1021445,"conventional",2017,"Chicago",2030,1154232.85,"2017/12/10",1.65,40734,"organic",2017,"Chicago",2030,67211.1,0.0550259387669815,0.944974061233018,0.921864208370615,0.078135791629385
"2017/12/10",1.16,234297,"conventional",2017,"Cincinnati/Dayton",2190,271784.52,"2017/12/10",1.69,8239,"organic",2017,"Cincinnati/Dayton",2190,13923.91,0.0487346838173448,0.951265316182655,0.921640979752964,0.0783590202470356
"2017/12/10",1.1,149627,"conventional",2017,"Columbus",2261,164589.7,"2017/12/10",1.52,6604,"organic",2017,"Columbus",2261,10038.08,0.0574827212485894,0.942517278751411,0.928429826068234,0.0715701739317663
"2017/12/10",0.75,1288281,"conventional",2017,"Dallas/Ft. Worth",1449,966210.75,"2017/12/10",1.53,16640,"organic",2017,"Dallas/Ft. Worth",1449,25459.2,0.02567305785559,0.97432694214441,0.96479638894717,0.0352036110528297
"2017/12/10",0.97,886842,"conventional",2017,"Denver",1032,860236.74,"2017/12/10",1.67,24472,"organic",2017,"Denver",1032,40868.24,0.0453534725776346,0.954646527422365,0.946481603768874,0.053518396231126
"2017/12/10",1.13,311950,"conventional",2017,"Detroit",2296,352503.5,"2017/12/10",1.39,13711,"organic",2017,"Detroit",2296,19058.29,0.0512923839666075,0.948707616033392,0.941869889252581,0.0581301107474194
"2017/12/10",1.61,107019,"conventional",2017,"Grand Rapids",2193,172300.59,"2017/12/10",1.29,6253,"organic",2017,"Grand Rapids",2193,8066.37,0.0447219934293953,0.955278006570605,0.953442082798573,0.0465579172014267
"2017/12/10",1.13,274939,"conventional",2017,"Harrisburg/Scranton",2717,310681.07,"2017/12/10",1.41,20516,"organic",2017,"Harrisburg/Scranton",2717,28927.56,0.0851791074920564,0.914820892507944,0.943439474398886,0.0565605256011136
"2017/12/10",1.14,447122,"conventional",2017,"Hartford/Springfield",2906,509719.08,"2017/12/10",1.81,13691,"organic",2017,"Hartford/Springfield",2906,24780.71,0.0463624316858946,0.953637568314106,0.94103680481658,0.0589631951834199
"2017/12/10",0.79,1266365,"conventional",2017,"Houston",1656,1000428.35,"2017/12/10",1.51,26415,"organic",2017,"Houston",1656,39886.65,0.0383409351975123,0.961659064802488,0.966414443488332,0.0335855565116683
"2017/12/10",1.26,167891,"conventional",2017,"Indianapolis",2083,211542.66,"2017/12/10",1.42,7090,"organic",2017,"Indianapolis",2083,10067.8,0.045430166067071,0.954569833932929,0.945371948156886,0.0546280518431136
"2017/12/10",1.01,181426,"conventional",2017,"Jacksonville",2440,183240.26,"2017/12/10",1.59,2646,"organic",2017,"Jacksonville",2440,4207.14,0.0224443763957249,0.977555623604275,0.978139500731126,0.0218604992688741
"2017/12/10",1.03,288441,"conventional",2017,"Las Vegas",286,297094.23,"2017/12/10",1.68,8602,"organic",2017,"Las Vegas",286,14451.36,0.0463860201006216,0.953613979899378,0.947760158322428,0.0522398416775717
"2017/12/10",1.07,2404222,"conventional",2017,"Los Angeles",111,2572517.54,"2017/12/10",1.78,69862,"organic",2017,"Los Angeles",111,124354.36,0.0461105920529633,0.953889407947037,0.943881225974794,0.0561187740252061
"2017/12/10",1.01,100073,"conventional",2017,"Louisville",2101,101073.73,"2017/12/10",1.54,2491,"organic",2017,"Louisville",2101,3836.14,0.0365660542711568,0.963433945728843,0.936163248380035,0.0638367516199649
"2017/12/10",1.03,713866,"conventional",2017,"Miami/Ft. Lauderdale",2843,735281.98,"2017/12/10",1.48,5326,"organic",2017,"Miami/Ft. Lauderdale",2843,7882.48,0.0106066428418819,0.989393357158118,0.98727575637968,0.0127242436203202
"2017/12/10",0.9,239588,"conventional",2017,"Nashville",2020,215629.2,"2017/12/10",1.59,5477,"organic",2017,"Nashville",2020,8708.43,0.0388184095552761,0.961181590444724,0.939943242238379,0.060056757761621
"2017/12/10",1.06,251601,"conventional",2017,"New Orleans/Mobile",1954,266697.06,"2017/12/10",1.4,5489,"organic",2017,"New Orleans/Mobile",1954,7684.6,0.0280069739355028,0.971993026064497,0.978554582016915,0.0214454179830849
"2017/12/10",1.14,2390309,"conventional",2017,"New York",2794,2724952.26,"2017/12/10",1.79,79929,"organic",2017,"New York",2794,143072.91,0.0498855140800595,0.95011448591994,0.933438425149798,0.066561574850202
"2017/12/10",1.02,424939,"conventional",2017,"Orlando",2617,433437.78,"2017/12/10",1.6,5703,"organic",2017,"Orlando",2617,9124.8,0.0206181010604195,0.97938189893958,0.980111713684211,0.0198882863157888
"2017/12/10",1.23,575854,"conventional",2017,"Philadelphia",2759,708300.42,"2017/12/10",1.5,28947,"organic",2017,"Philadelphia",2759,43420.5,0.057761462857785,0.942238537142215,0.936511942809066,0.0634880571909341
"2017/12/10",0.64,1222641,"conventional",2017,"Phoenix/Tucson",482,782490.24,"2017/12/10",1.8,10964,"organic",2017,"Phoenix/Tucson",482,19735.2,0.0246005661450976,0.975399433854902,0.969701956979254,0.030298043020746
"2017/12/10",1.27,93437,"conventional",2017,"Pittsburgh",2445,118664.99,"2017/12/10",1.39,9389,"organic",2017,"Pittsburgh",2445,13050.71,0.0990824176616758,0.900917582338324,0.901272720977339,0.0987272790226607
"2017/12/10",1.29,424742,"conventional",2017,"Portland",855,547917.18,"2017/12/10",1.42,35195,"organic",2017,"Portland",855,49976.9,0.0835882168293086,0.916411783170691,0.923994665655572,0.0760053343444283
"2017/12/10",1.03,356980,"conventional",2017,"Raleigh/Greensboro",2557,367689.4,"2017/12/10",2.12,11025,"organic",2017,"Raleigh/Greensboro",2557,23373,0.0597679551907828,0.940232044809217,0.931804857309753,0.0681951426902468
"2017/12/10",1.04,253167,"conventional",2017,"Richmond/Norfolk",2632,263293.68,"2017/12/10",1.4,12386,"organic",2017,"Richmond/Norfolk",2632,17340.4,0.0617900719684509,0.938209928031549,0.928449792317041,0.0715502076829592
"2017/12/10",1.07,474539,"conventional",2017,"Sacramento",277,507756.73,"2017/12/10",1.75,6765,"organic",2017,"Sacramento",277,11838.75,0.0227845515515262,0.977215448448474,0.962944579767275,0.0370554202327255
"2017/12/10",1.13,442148,"conventional",2017,"San Diego",253,499627.24,"2017/12/10",2.05,13284,"organic",2017,"San Diego",253,27232.2,0.0516877898211333,0.948312210178867,0.936062734959172,0.0639372650408284
"2017/12/10",1.05,992871,"conventional",2017,"San Francisco",283,1042514.55,"2017/12/10",2.27,15142,"organic",2017,"San Francisco",283,34372.34,0.0319182453785838,0.968081754621416,0.934814063488938,0.0651859365110624
"2017/12/10",1.39,389912,"conventional",2017,"Seattle",1029,541977.68,"2017/12/10",1.07,144863,"organic",2017,"Seattle",1029,155003.41,0.222392561611679,0.777607438388321,0.870418203097601,0.129581796902399
"2017/12/10",1.2,74626,"conventional",2017,"Spokane",1097,89551.2,"2017/12/10",2.06,2722,"organic",2017,"Spokane",1097,5607.32,0.0589260951095078,0.941073904890492,0.924914231142534,0.0750857688574661
"2017/12/10",1.18,156411,"conventional",2017,"St. Louis",1841,184564.98,"2017/12/10",1.72,5723,"organic",2017,"St. Louis",1841,9843.56,0.0506333723816865,0.949366627618313,0.933648181888816,0.0663518181111838
"2017/12/10",1.24,59965,"conventional",2017,"Syracuse",2693,74356.6,"2017/12/10",1.13,6432,"organic",2017,"Syracuse",2693,7268.16,0.0890435696227468,0.910956430377253,0.939977816469908,0.0600221835300924
"2017/12/10",1.02,474890,"conventional",2017,"Tampa",2636,484387.8,"2017/12/10",1.56,5581,"organic",2017,"Tampa",2636,8706.36,0.0176565871313503,0.98234341286865,0.982892930828724,0.0171070691712757
"2017/12/17",1.43,70678,"conventional",2017,"Albany",2832,101069.54,"2017/12/17",1.43,3514,"organic",2017,"Albany",2832,5025.02,0.0473635971533319,0.952636402846668,0.967559739478929,0.0324402605210707
"2017/12/17",1,484327,"conventional",2017,"Atlanta",2199,484327,"2017/12/17",1.59,11548,"organic",2017,"Atlanta",2199,18361.32,0.0365262514951611,0.963473748504839,0.950191710190095,0.0498082898099051
"2017/12/17",1.44,628735,"conventional",2017,"Baltimore/Washington",2679,905378.4,"2017/12/17",1.58,34582,"organic",2017,"Baltimore/Washington",2679,54639.56,0.0569151435458562,0.943084856454144,0.944935705825464,0.0550642941745357
"2017/12/17",1.29,65090,"conventional",2017,"Boise",827,83966.1,"2017/12/17",1.79,1797,"organic",2017,"Boise",827,3216.63,0.0368952658399204,0.96310473416008,0.943837287582292,0.056162712417708
"2017/12/17",1.28,516771,"conventional",2017,"Boston",2998,661466.88,"2017/12/17",1.82,24905,"organic",2017,"Boston",2998,45327.1,0.0641305688540245,0.935869431145976,0.944402626536698,0.0555973734633019
"2017/12/17",1.26,108352,"conventional",2017,"Buffalo/Rochester",2552,136523.52,"2017/12/17",1.15,10785,"organic",2017,"Buffalo/Rochester",2552,12402.75,0.0832811430783837,0.916718856921616,0.926154647760673,0.0738453522393267
"2017/12/17",1.26,189529,"conventional",2017,"Charlotte",2428,238806.54,"2017/12/17",1.86,9679,"organic",2017,"Charlotte",2428,18002.94,0.0701023186527226,0.929897681347277,0.933943830589444,0.066056169410556
"2017/12/17",1.49,620054,"conventional",2017,"Chicago",2030,923880.46,"2017/12/17",1.39,44435,"organic",2017,"Chicago",2030,61764.65,0.0626641875187713,0.937335812481229,0.921864208370615,0.078135791629385
"2017/12/17",1.3,169220,"conventional",2017,"Cincinnati/Dayton",2190,219986,"2017/12/17",1.73,9466,"organic",2017,"Cincinnati/Dayton",2190,16376.18,0.0692842653592043,0.930715734640796,0.921640979752964,0.0783590202470356
"2017/12/17",1.03,162900,"conventional",2017,"Columbus",2261,167787,"2017/12/17",1.56,6639,"organic",2017,"Columbus",2261,10356.84,0.0581375140448303,0.94186248595517,0.928429826068234,0.0715701739317663
"2017/12/17",0.83,1084068,"conventional",2017,"Dallas/Ft. Worth",1449,899776.44,"2017/12/17",1.41,20248,"organic",2017,"Dallas/Ft. Worth",1449,28549.68,0.0307539337576756,0.969246066242324,0.96479638894717,0.0352036110528297
"2017/12/17",1.13,646737,"conventional",2017,"Denver",1032,730812.81,"2017/12/17",1.46,34524,"organic",2017,"Denver",1032,50405.04,0.0645211063725694,0.935478893627431,0.946481603768874,0.053518396231126
"2017/12/17",1.08,369197,"conventional",2017,"Detroit",2296,398732.76,"2017/12/17",1.41,17065,"organic",2017,"Detroit",2296,24061.65,0.0569109936907633,0.943089006309237,0.941869889252581,0.0581301107474194
"2017/12/17",1.25,162923,"conventional",2017,"Grand Rapids",2193,203653.75,"2017/12/17",1.28,6778,"organic",2017,"Grand Rapids",2193,8675.84,0.040860249388698,0.959139750611302,0.953442082798573,0.0465579172014267
"2017/12/17",1.37,196746,"conventional",2017,"Harrisburg/Scranton",2717,269542.02,"2017/12/17",1.46,16946,"organic",2017,"Harrisburg/Scranton",2717,24741.16,0.0840726269166998,0.9159273730833,0.943439474398886,0.0565605256011136
"2017/12/17",1.44,228292,"conventional",2017,"Hartford/Springfield",2906,328740.48,"2017/12/17",1.93,12068,"organic",2017,"Hartford/Springfield",2906,23291.24,0.0661623333260991,0.933837666673901,0.94103680481658,0.0589631951834199
"2017/12/17",0.98,928717,"conventional",2017,"Houston",1656,910142.66,"2017/12/17",1.53,27626,"organic",2017,"Houston",1656,42267.78,0.0443797949127899,0.95562020508721,0.966414443488332,0.0335855565116683
"2017/12/17",1.26,143976,"conventional",2017,"Indianapolis",2083,181409.76,"2017/12/17",1.38,8333,"organic",2017,"Indianapolis",2083,11499.54,0.0596111229474162,0.940388877052584,0.945371948156886,0.0546280518431136
"2017/12/17",0.99,176847,"conventional",2017,"Jacksonville",2440,175078.53,"2017/12/17",1.61,2499,"organic",2017,"Jacksonville",2440,4023.39,0.0224642482894656,0.977535751710534,0.978139500731126,0.0218604992688741
"2017/12/17",1.03,267988,"conventional",2017,"Las Vegas",286,276027.64,"2017/12/17",1.94,7541,"organic",2017,"Las Vegas",286,14629.54,0.0503326289754824,0.949667371024518,0.947760158322428,0.0522398416775717
"2017/12/17",0.89,3130916,"conventional",2017,"Los Angeles",111,2786515.24,"2017/12/17",1.7,64716,"organic",2017,"Los Angeles",111,110017.2,0.0379823814436547,0.962017618556345,0.943881225974794,0.0561187740252061
"2017/12/17",1.07,80191,"conventional",2017,"Louisville",2101,85804.37,"2017/12/17",1.57,3861,"organic",2017,"Louisville",2101,6061.77,0.0659848122496493,0.934015187750351,0.936163248380035,0.0638367516199649
"2017/12/17",1.01,660738,"conventional",2017,"Miami/Ft. Lauderdale",2843,667345.38,"2017/12/17",1.59,8487,"organic",2017,"Miami/Ft. Lauderdale",2843,13494.33,0.0198201277067109,0.980179872293289,0.98727575637968,0.0127242436203202
"2017/12/17",0.91,197844,"conventional",2017,"Nashville",2020,180038.04,"2017/12/17",1.62,6706,"organic",2017,"Nashville",2020,10863.72,0.0569073852435934,0.943092614756407,0.939943242238379,0.060056757761621
"2017/12/17",1.03,251754,"conventional",2017,"New Orleans/Mobile",1954,259306.62,"2017/12/17",1.37,5789,"organic",2017,"New Orleans/Mobile",1954,7930.93,0.0296774536362873,0.970322546363713,0.978554582016915,0.0214454179830849
"2017/12/17",1.41,1181560,"conventional",2017,"New York",2794,1665999.6,"2017/12/17",1.84,75462,"organic",2017,"New York",2794,138850.08,0.0769316589290694,0.923068341070931,0.933438425149798,0.066561574850202
"2017/12/17",1.01,381304,"conventional",2017,"Orlando",2617,385117.04,"2017/12/17",1.6,5835,"organic",2017,"Orlando",2617,9336,0.0236682166272568,0.976331783372743,0.980111713684211,0.0198882863157888
"2017/12/17",1.43,344204,"conventional",2017,"Philadelphia",2759,492211.72,"2017/12/17",1.59,22003,"organic",2017,"Philadelphia",2759,34984.77,0.0663600207201683,0.933639979279832,0.936511942809066,0.0634880571909341
"2017/12/17",0.7,1031888,"conventional",2017,"Phoenix/Tucson",482,722321.6,"2017/12/17",1.45,17034,"organic",2017,"Phoenix/Tucson",482,24699.3,0.0330637335581909,0.966936266441809,0.969701956979254,0.030298043020746
"2017/12/17",1.01,141895,"conventional",2017,"Pittsburgh",2445,143313.95,"2017/12/17",1.37,9322,"organic",2017,"Pittsburgh",2445,12771.14,0.0818216525358059,0.918178347464194,0.901272720977339,0.0987272790226607
"2017/12/17",1.31,430915,"conventional",2017,"Portland",855,564498.65,"2017/12/17",1.54,26460,"organic",2017,"Portland",855,40748.4,0.0673252352076726,0.932674764792327,0.923994665655572,0.0760053343444283
"2017/12/17",1.24,253165,"conventional",2017,"Raleigh/Greensboro",2557,313924.6,"2017/12/17",2.03,10729,"organic",2017,"Raleigh/Greensboro",2557,21779.87,0.0648781054360104,0.93512189456399,0.931804857309753,0.0681951426902468
"2017/12/17",1.13,199747,"conventional",2017,"Richmond/Norfolk",2632,225714.11,"2017/12/17",1.43,12837,"organic",2017,"Richmond/Norfolk",2632,18356.91,0.0752113462712615,0.924788653728738,0.928449792317041,0.0715502076829592
"2017/12/17",1.2,404548,"conventional",2017,"Sacramento",277,485457.6,"2017/12/17",1.72,7034,"organic",2017,"Sacramento",277,12098.48,0.0243158117975365,0.975684188202464,0.962944579767275,0.0370554202327255
"2017/12/17",0.73,719091,"conventional",2017,"San Diego",253,524936.43,"2017/12/17",1.54,14047,"organic",2017,"San Diego",253,21632.38,0.0395785116241814,0.960421488375819,0.936062734959172,0.0639372650408284
"2017/12/17",1.4,674625,"conventional",2017,"San Francisco",283,944475,"2017/12/17",2.1,17851,"organic",2017,"San Francisco",283,37487.1,0.0381757096327852,0.961824290367215,0.934814063488938,0.0651859365110624
"2017/12/17",1.49,361827,"conventional",2017,"Seattle",1029,539122.23,"2017/12/17",1.25,80745,"organic",2017,"Seattle",1029,100931.25,0.157691900995523,0.842308099004477,0.870418203097601,0.129581796902399
"2017/12/17",1.34,61276,"conventional",2017,"Spokane",1097,82109.84,"2017/12/17",2.14,2675,"organic",2017,"Spokane",1097,5724.5,0.0651738260912531,0.934826173908747,0.924914231142534,0.0750857688574661
"2017/12/17",1.17,154326,"conventional",2017,"St. Louis",1841,180561.42,"2017/12/17",1.63,5955,"organic",2017,"St. Louis",1841,9706.65,0.0510156538614177,0.948984346138582,0.933648181888816,0.0663518181111838
"2017/12/17",1.3,49220,"conventional",2017,"Syracuse",2693,63986,"2017/12/17",1.18,4668,"organic",2017,"Syracuse",2693,5508.24,0.0792618208357988,0.920738179164201,0.939977816469908,0.0600221835300924
"2017/12/17",1,449049,"conventional",2017,"Tampa",2636,449049,"2017/12/17",1.58,5610,"organic",2017,"Tampa",2636,8863.8,0.0193569605392118,0.980643039460788,0.982892930828724,0.0171070691712757
"2017/12/24",1.45,77039,"conventional",2017,"Albany",2832,111706.55,"2017/12/24",1.58,3694,"organic",2017,"Albany",2832,5836.52,0.0496543096926088,0.950345690307391,0.967559739478929,0.0324402605210707
